,ingredients,first_ingredient,second_ingredient,third_ingredient,fourth_ingredient
0,"Maida flour, yogurt, oil, sugar",Maida flour, yogurt, oil, sugar
2,"Carrots, milk, sugar, ghee, cashews, raisins",Carrots, milk, sugar, ghee
3,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",Flour, ghee, kewra, milk
4,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Milk powder, plain flour, baking powder, ghee
6,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",Maida, corn flour, baking soda, vinegar
7,"Cashews, ghee, cardamom, sugar",Cashews, ghee, cardamom, sugar
9,"Milk, rice, sugar, dried fruits",Milk, rice, sugar, dried fruits
11,"Yogurt, milk, nuts, sugar",Yogurt, milk, nuts, sugar
12,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",Refined flour, besan, ghee, powdered sugar
13,"Firm white pumpkin, sugar, kitchen lime, alum powder",Firm white pumpkin, sugar, kitchen lime, alum powder
15,"Condensed milk, sugar, spices, nuts",Condensed milk, sugar, spices, nuts
16,"Semolina, ghee, nuts, milk",Semolina, ghee, nuts, milk
19,"Gram flour, ghee, sugar, milk, cardamom",Gram flour, ghee, sugar, milk
23,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",Flour, cream, sugar, saffron
24,"Chenna, condensed milk, sugar, saffron, cardamom",Chenna, condensed milk, sugar, saffron
27,"Yoghurt, refined flour, ghee, fennel seeds",Yoghurt, refined flour, ghee, fennel seeds
30,"Chhena, sugar, ghee, flour",Chhena, sugar, ghee, flour
35,"Milk, sugar, saffron, cardamom",Milk, sugar, saffron, cardamom
36,"Rice flour, jaggery, ghee, vegetable oil, elachi",Rice flour, jaggery, ghee, vegetable oil
38,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",Besan, jaggery, cardamom powder, ghee
42,"Rice flour, sugar, salt, ghee, semolina",Rice flour, sugar, salt, ghee
45,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",Besan flour, semolina, mung bean, jaggery
46,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",Maida flour, turmeric, coconut, chickpeas
49,"Rice, jaggery, cashews, ghee",Rice, jaggery, cashews, ghee
53,"Rice flour, banana, jaggery, coconut",Rice flour, banana, jaggery, coconut
58,"Milk, rice, sugar, dry fruits",Milk, rice, sugar, dry fruits
61,"Sugar, ghee, maida flour, semolina",Sugar, ghee, maida flour, semolina
62,"Curd, sugar, saffron, cardamom",Curd, sugar, saffron, cardamom
64,"Fish, potol, tomato, chillies, ginger, garlic",Fish, potol, tomato, chillies
65,"Boiled pork, onions, chillies, ginger and garlic",Boiled pork, onions, chillies, ginger and garlic
